outdir,n_folds,acc_rate_med,Gate_Calmar_med,Rand_Calmar_med,All_Calmar_med,dCalmar_med,win_rate,tau_lo,tau_hi,thetas,mc,min_trades,dd_eps
reports/sweep_gate/a90_tau4555_t0001_mc1_m10_eps0002,11,0.09496124031007752,7.2643606924432005,5.809341200915266,6.3678495372484125,-0.07195068734578852,0.18181818181818182,45,55,[0.001],1,10,0.002
reports/sweep_gate/a90_tau5060_t0000010002_mc1_m0_eps0001,11,0.09302325581395349,13.977603351478638,5.42594042760854,6.065895078760471,0.01184689118857618,0.2727272727272727,50,60,"[0.0, 0.001, 0.002]",1,0,0.001
reports/sweep_gate/a90_tau5060_t0000010002_mc1_m0_eps0002,11,0.09302325581395349,13.35523378041109,5.293779343212943,5.918146447507578,0.012105526488480067,0.2727272727272727,50,60,"[0.0, 0.001, 0.002]",1,0,0.002
reports/sweep_gate/a90_tau5060_t0000010002_mc1_m10_eps0001,11,0.09302325581395349,13.977603351478638,5.42594042760854,6.065895078760471,0.01184689118857618,0.2727272727272727,50,60,"[0.0, 0.001, 0.002]",1,10,0.001
reports/sweep_gate/a90_tau5060_t0000010002_mc1_m10_eps0002,11,0.09302325581395349,13.35523378041109,5.293779343212943,5.918146447507578,0.012105526488480067,0.2727272727272727,50,60,"[0.0, 0.001, 0.002]",1,10,0.002
reports/sweep_gate/a90_tau5060_t00010002_mc1_m0_eps0001,11,0.08527131782945736,7.887459104114427,5.646824018382633,5.965517973646728,-0.12890371905366454,0.2727272727272727,50,60,"[0.001, 0.002]",1,0,0.001
reports/sweep_gate/a90_tau5060_t00010002_mc1_m0_eps0002,11,0.08527131782945736,7.564018682335929,5.526429251373409,5.851698506798698,-0.13187350817375582,0.2727272727272727,50,60,"[0.001, 0.002]",1,0,0.002
reports/sweep_gate/a90_tau5060_t00010002_mc1_m10_eps0001,11,0.08527131782945736,7.887459104114427,5.646824018382633,5.965517973646728,-0.12890371905366454,0.2727272727272727,50,60,"[0.001, 0.002]",1,10,0.001
reports/sweep_gate/a90_tau5060_t00010002_mc1_m10_eps0002,11,0.08527131782945736,7.564018682335929,5.526429251373409,5.851698506798698,-0.13187350817375582,0.2727272727272727,50,60,"[0.001, 0.002]",1,10,0.002
reports/sweep_gate/a90_tau5060_t0001_mc1_m0_eps0001,11,0.09302325581395349,6.361177908353793,5.867707609156725,6.065895078760471,0.01184689118857618,0.36363636363636365,50,60,[0.001],1,0,0.001
reports/sweep_gate/a90_tau5060_t0001_mc1_m0_eps0002,11,0.09302325581395349,6.235586440027452,5.759079159533874,5.918146447507578,0.012105526488480067,0.36363636363636365,50,60,[0.001],1,0,0.002
reports/sweep_gate/a90_tau5060_t0001_mc1_m10_eps0001,11,0.09302325581395349,6.361177908353793,5.867707609156725,6.065895078760471,0.01184689118857618,0.36363636363636365,50,60,[0.001],1,10,0.001
reports/sweep_gate/a90_tau5060_t0001_mc1_m10_eps0002,11,0.09302325581395349,6.235586440027452,5.759079159533874,5.918146447507578,0.012105526488480067,0.36363636363636365,50,60,[0.001],1,10,0.002
