fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,status,mu_final,phi_final,db_iters
6,0.95,0.0,0.06510479367604637,0.008568746945517512,0.33481008517757105,0.009512315895645607,35.19753642021445,0.5369857336590362,0.049937274838111945,10.753204603171712,0.9189686356055262,0.10000625053859247,9.189111987064205,0.00590393027341829,0.04213026280006451,0.025201856604080274,0.05228368268646855,ok,0.4401286636462219,0.0,2
6,0.95,0.002,0.06710479367604637,0.008568746945517512,0.33481008517757105,0.009512315895645607,35.19753642021445,0.5369857336590362,0.049937274838111945,10.753204603171712,0.9189686356055262,0.10000625053859247,9.189111987064205,0.00590393027341829,0.04213026280006451,0.025201856604080274,0.05228368268646855,ok,0.4401286636462219,0.0,2
7,0.9,0.0,0.032465005258825286,0.008263625256136671,0.6733920945734575,0.052704505518084144,12.776746275371107,0.9357989592066405,0.10717980776268965,8.731112499087738,1.253260842897936,0.0568313807224643,22.052268077353737,-0.02047171854579146,0.043127317970657976,0.050307818373973516,0.09619038648407803,ok,13.979199327660643,0.0,2
7,0.9,0.002,0.03446500525882529,0.008263625256136671,0.6733920945734575,0.052704505518084144,12.776746275371107,0.9357989592066405,0.10717980776268965,8.731112499087738,1.253260842897936,0.0568313807224643,22.052268077353737,-0.02047171854579146,0.043127317970657976,0.050307818373973516,0.09619038648407803,ok,13.979199327660643,0.0,2
7,0.95,0.0,0.05398986524248782,0.008263625256136671,0.4108766294135089,0.021140669244855137,19.435365297789765,0.6665126383917996,0.050317080506309564,13.246250213348956,1.253260842897936,0.0568313807224643,22.052268077353737,-0.01774857196802624,0.039544962044382896,0.0346961997467633,0.07318600239528528,ok,13.448843256648482,0.0,2
7,0.95,0.002,0.05598986524248782,0.008263625256136671,0.4108766294135089,0.021140669244855137,19.435365297789765,0.6665126383917996,0.050317080506309564,13.246250213348956,1.253260842897936,0.0568313807224643,22.052268077353737,-0.01774857196802624,0.039544962044382896,0.0346961997467633,0.07318600239528528,ok,13.448843256648482,0.0,2
8,0.9,0.0,0.05241311429001195,0.01647861765271227,0.11314008892443383,0.08749040681792375,1.293171366317791,0.28353767616790004,0.13352860301741054,2.123422770557482,0.6591707762186323,0.15846443752380113,4.159739475424105,-0.016882051021201067,0.05448763797774703,0.034823193003863606,0.07625824331162545,ok,17.274589545728645,0.0,3
8,0.9,0.002,0.05441311429001195,0.01647861765271227,0.11314008892443383,0.08749040681792375,1.293171366317791,0.28353767616790004,0.13352860301741054,2.123422770557482,0.6591707762186323,0.15846443752380113,4.159739475424105,-0.016882051021201067,0.05448763797774703,0.034823193003863606,0.07625824331162545,ok,17.274589545728645,0.0,3
8,0.95,0.0,0.07592575260418963,0.013159345860034866,0.19147280541524148,0.08550785506309955,2.2392422926986804,0.34810652943989306,0.1288666362882518,2.701292898351444,0.6591707762186323,0.15846443752380113,4.159739475424105,-0.022507724591652904,0.05448763797774703,0.03393815650016775,0.08873943729952367,ok,9.237495296388117,0.0,2
8,0.95,0.002,0.07792575260418963,0.013159345860034866,0.19147280541524148,0.08550785506309955,2.2392422926986804,0.34810652943989306,0.1288666362882518,2.701292898351444,0.6591707762186323,0.15846443752380113,4.159739475424105,-0.022507724591652904,0.05448763797774703,0.03393815650016775,0.08873943729952367,ok,9.237495296388117,0.0,2
