fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,accepted,skipped,days,status,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
3,0.9,0.0,0.05589643285301989,0.013045260298901764,0.018098226526860328,0.0038597631522244713,4.688947433582784,0.0009921403102530757,0.0016270568285533527,0.6097760648810322,0.002932610864343932,0.005681141007895296,0.5162010343113068,67,20,258,ok,3.7240964137472794,0.37766229472828716,0.43893862753059415
3,0.9,0.0,0.05589643285301989,0.013217950018122423,0.018098226526860328,0.0038597631522244713,4.688947433582784,-0.0021322511987674764,0.0030680406609471245,-0.6949879204368942,0.002937354128032199,0.005495727310665943,0.5344795987842174,67,20,258,ok,3.7240964137472794,-0.5241469730715631,0.45219788139952893
4,0.9,0.0,0.03835479610294944,0.008713170616027709,0.0026205523645579376,0.00466467000779569,0.5617872990326042,0.002206556002957605,0.0006418608921059388,3.4377480075439992,0.007674559329350572,0.005874499125969712,1.306419349936276,82,38,248,ok,0.4626134198376157,1.3439360262289686,1.1163808720781536
4,0.9,0.0,0.03835479610294944,0.010427234273937259,0.006121920163205674,0.003961634085642096,1.5453017696391922,6.5640641165432e-05,0.0009786692340655323,0.06707132387594465,0.006049318766128575,0.004516221253430763,1.33946466009237,62,28,248,ok,1.233851601616733,0.033174135441809784,1.096641793032913
4,0.9,0.0,0.04191671152057177,0.008713170616027709,0.00396727231757299,0.00466467000779569,0.8504936707082825,0.0019262409565610206,0.0015044548378777556,1.2803581124962538,0.007674559329350572,0.005874499125969712,1.306419349936276,84,40,248,ok,0.7003536502767592,0.7691258502362509,1.1163808720781536
4,0.9,0.0,0.04191671152057177,0.010427234273937259,0.007473343153542755,0.003961634085642096,1.886429435930978,0.002577147171189287,0.0005626419210046363,4.580439307806307,0.006049318766128575,0.004516221253430763,1.33946466009237,64,30,248,ok,1.5062261796308207,1.6492243914283422,1.096641793032913
5,0.9,0.0,0.021737038667608115,0.007919666873994908,-0.014998802807999145,0.012514716717390129,-1.1984931937897718,-0.0006084816547444749,0.0028083146750929044,-0.2166714649683427,-0.014147826178879996,0.01724780924718783,-0.8202680106278849,40,14,210,ok,-1.1098125933116572,-0.1597771472835634,-0.7753164222198519
5,0.9,0.0,0.021737038667608115,0.008447020224202541,-0.014598254501247965,0.012180096010178998,-1.1985336149278374,-0.0024333179783196934,0.002079853134066889,-1.1699470210002996,-0.013953118656821917,0.016675475794832972,-0.8367448598465419,39,14,210,ok,-1.1075984947282418,-0.7900759784303553,-0.7894055480475833
5,0.9,0.0,0.023024772750760574,0.007919666873994908,-0.014311990975845457,0.011940963456218756,-1.1985624969308393,-0.0033466898500779108,0.004103092448811019,-0.8156506078842323,-0.014147826178879996,0.01724780924718783,-0.8202680106278849,52,22,210,ok,-1.1059447794799122,-0.6558160338360446,-0.7753164222198519
5,0.9,0.0,0.023024772750760574,0.008447020224202541,-0.013911163378757418,0.011732931361898347,-1.1856511343731786,-0.0013759835237383555,0.0036550905428721636,-0.3764567546545947,-0.013953118656821917,0.016675475794832972,-0.8367448598465419,51,22,210,ok,-1.0925342313856161,-0.2955868443515562,-0.7894055480475833
