fold,alpha,qbuf,status,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high
9,0.95,0.0,,0.07610384816935427,0.0,0.0,0.0,inf,0.0,0.0,inf,-0.0040848876369936615,0.16175907583773896,-0.025252911565167603,0.0,0.0,0.0,0.0
9,0.95,0.002,,0.07810384816935427,0.0,0.0,0.0,inf,0.0,0.0,inf,-0.0040848876369936615,0.16175907583773896,-0.025252911565167603,0.0,0.0,0.0,0.0
10,0.9,0.0,,0.06049167276386115,0.0,0.08183519359011626,0.17420017532054188,0.46977675791389495,0.07957392677682451,0.15798959439537907,0.503665618494378,0.08183519359011626,0.2923941512429623,0.2798797214042631,0.006046435424139225,0.09105313036332496,0.055293643430343487,0.1420841204014225
10,0.9,0.002,,0.06249167276386115,0.0,0.08183519359011626,0.17420017532054188,0.46977675791389495,0.07957392677682451,0.15798959439537907,0.503665618494378,0.08183519359011626,0.2923941512429623,0.2798797214042631,0.006046435424139225,0.09105313036332496,0.055293643430343487,0.1420841204014225
10,0.95,0.0,,0.08479911927430725,0.0,0.08183519359011626,0.2923941512429623,0.2798797214042631,0.08183519359011626,0.2923941512429623,0.2798797214042631,0.08183519359011626,0.2923941512429623,0.2798797214042631,0.006046435424139225,0.09105313036332496,0.056326836417063195,0.14878461641346286
10,0.95,0.002,,0.08679911927430725,0.0,0.08183519359011626,0.2923941512429623,0.2798797214042631,0.08183519359011626,0.2923941512429623,0.2798797214042631,0.08183519359011626,0.2923941512429623,0.2798797214042631,0.006046435424139225,0.09105313036332496,0.056326836417063195,0.14878461641346286
11,0.9,0.0,,0.03928784908265838,0.0,0.0799711059508661,0.0739867087122188,1.080884760828116,0.0799711059508661,0.06981546718436749,1.1454640236049667,0.0799711059508661,0.14833665454146283,0.5391189803900606,-0.0025189211845352997,0.10631172307170565,0.03977459477384581,0.07454097972585615
11,0.9,0.002,,0.04128784908265838,0.0,0.0799711059508661,0.0739867087122188,1.080884760828116,0.0799711059508661,0.06981546718436749,1.1454640236049667,0.0799711059508661,0.14833665454146283,0.5391189803900606,-0.0025189211845352997,0.10631172307170565,0.03977459477384581,0.07454097972585615
11,0.95,0.0,,0.06298630343512562,0.0,-0.008473978000641202,0.08419694484628781,-0.10064472073317532,0.1108118489158143,0.12074255180663096,0.9177530808962804,0.0799711059508661,0.14833665454146283,0.5391189803900606,-0.00258859399334887,0.08915545898873653,0.03859606179475798,0.07477605545799393
11,0.95,0.002,,0.06498630343512563,0.0,-0.008473978000641202,0.08419694484628781,-0.10064472073317532,0.1108118489158143,0.12074255180663096,0.9177530808962804,0.0799711059508661,0.14833665454146283,0.5391189803900606,-0.00258859399334887,0.08915545898873653,0.03859606179475798,0.07477605545799393
