fold,alpha,qbuf,status,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,mu_final,phi_final,db_iters
5,0.95,0.0,ok,0.03115251718739168,0.008447020224202541,0.007996052595834913,0.06986984806811725,0.11444210652983575,0.2498628425708187,0.09874304221102526,2.5304349245877296,0.43374838859993714,0.10615940613633523,4.085821543150832,-0.035840801398004274,0.056552866898960226,0.018223231640448884,0.056012027678852605,6.859236768151659,0.0,3.0
5,0.95,0.002,ok,0.03315251718739168,0.008447020224202541,0.007996052595834913,0.06986984806811725,0.11444210652983575,0.2498628425708187,0.09874304221102526,2.5304349245877296,0.43374838859993714,0.10615940613633523,4.085821543150832,-0.035840801398004274,0.056552866898960226,0.018223231640448884,0.056012027678852605,6.859236768151659,0.0,3.0
6,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
6,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
6,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
6,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
7,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
7,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
7,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
7,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
8,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
8,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
8,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
8,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
9,0.9,0.0,ok,0.05221211344397804,0.013183373485901108,0.014554365610815356,0.06361114462464279,0.2288021335993541,-0.01099134938793378,0.07435979633334666,-0.14781306471928443,0.05448935563535651,0.13826739606132177,0.3940867998352295,-0.039014519488493334,0.08048268311612433,0.017933672595589326,0.09437780960788267,9.129333446974417,0.0,2.0
9,0.9,0.002,ok,0.05421211344397804,0.013183373485901108,0.014554365610815356,0.06361114462464279,0.2288021335993541,-0.01099134938793378,0.07435979633334666,-0.14781306471928443,0.05448935563535651,0.13826739606132177,0.3940867998352295,-0.039014519488493334,0.08048268311612433,0.017933672595589326,0.09437780960788267,9.129333446974417,0.0,2.0
9,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
9,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
10,0.9,0.0,ok,0.06035599093257275,0.013733942620319625,0.0,0.0,inf,0.0,0.0,inf,1.4925336174478083,0.029368804646330182,50.820373366278965,0.0,0.0,0.0,0.0,0.41937815950234403,0.0,2.0
10,0.9,0.002,ok,0.062355990932572755,0.013733942620319625,0.0,0.0,inf,0.0,0.0,inf,1.4925336174478083,0.029368804646330182,50.820373366278965,0.0,0.0,0.0,0.0,0.41937815950234403,0.0,2.0
10,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
10,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
11,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
11,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
11,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
11,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
