fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,accepted,skipped,days,status,mu_final,phi_final,db_iters,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
3,0.95,0.0,0.09154244998744451,0.013217950018122423,0.1353097717192666,0.05559946476322464,2.433652415459313,0.16614717483832608,0.08519486806957732,1.9502016800194617,0.11068013125592757,0.0896620236845268,1.23441482477969,0.0026541093682530548,0.03363298952801504,0.022140810777669828,0.055117767805219264,18.0,58.0,258.0,ok,49.48653551647433,0.0,2.0,2.390654616352199,1.927576183586829,1.220799258144259
3,0.95,0.002,0.09354244998744451,0.013217950018122423,0.1353097717192666,0.05559946476322464,2.433652415459313,0.16614717483832608,0.08519486806957732,1.9502016800194617,0.11068013125592757,0.0896620236845268,1.23441482477969,0.0026541093682530548,0.03363298952801504,0.022140810777669828,0.055117767805219264,18.0,58.0,258.0,ok,49.48653551647433,0.0,2.0,2.390654616352199,1.927576183586829,1.220799258144259
4,0.9,0.0,0.03835479610294944,0.010427234273937259,0.22960489465123146,0.01356107570566123,16.931171216408757,0.32588807559489097,0.025451721024261853,12.804166574206835,0.6082070315681933,0.03429766125156586,17.733192566896253,0.0012086819279174762,0.05215312981307063,0.019429393413265654,0.04404762315008953,16.0,46.0,248.0,ok,11.692817239055506,0.0,2.0,15.768401956866613,12.320108596940905,17.230802551860638
4,0.9,0.002,0.04035479610294944,0.010427234273937259,0.22960489465123146,0.01356107570566123,16.931171216408757,0.32588807559489097,0.025451721024261853,12.804166574206835,0.6082070315681933,0.03429766125156586,17.733192566896253,0.0012086819279174762,0.05215312981307063,0.019429393413265654,0.04404762315008953,16.0,46.0,248.0,ok,11.692817239055506,0.0,2.0,15.768401956866613,12.320108596940905,17.230802551860638
4,0.95,0.0,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,,,,
4,0.95,0.002,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,,,,
5,0.9,0.0,0.021737038667608115,0.007919666873994908,0.06711767073205865,0.05124147817222513,1.3098308855664322,0.2498628425708187,0.09874304221102526,2.5304349245877296,0.43374838859993714,0.10615940613633523,4.085821543150832,-0.03347611397416994,0.030331095118603102,0.018706268734686837,0.051501795544090956,11.0,29.0,210.0,ok,6.109304573555194,0.0,2.0,1.284758262597222,2.5050653863372907,4.047693097963738
5,0.9,0.002,0.023737038667608117,0.007919666873994908,0.06711767073205865,0.05124147817222513,1.3098308855664322,0.2498628425708187,0.09874304221102526,2.5304349245877296,0.43374838859993714,0.10615940613633523,4.085821543150832,-0.03347611397416994,0.030331095118603102,0.018706268734686837,0.051501795544090956,11.0,29.0,210.0,ok,6.109304573555194,0.0,2.0,1.284758262597222,2.5050653863372907,4.047693097963738
5,0.95,0.0,0.03115251718739168,0.007919666873994908,-0.0012525201388353668,0.06986984806811725,-0.017926475775562938,0.26562317511633826,0.09874304221102548,2.690044474715194,0.43374838859993714,0.10615940613633523,4.085821543150832,-0.029383852037137906,0.0331443002231681,0.018706268734686837,0.056012027678852605,16.0,26.0,210.0,ok,8.116341830764398,0.0,2.0,-0.017673526513440452,2.663074729106033,4.047693097963738
5,0.95,0.002,0.03315251718739168,0.007919666873994908,-0.0012525201388353668,0.06986984806811725,-0.017926475775562938,0.26562317511633826,0.09874304221102548,2.690044474715194,0.43374838859993714,0.10615940613633523,4.085821543150832,-0.029383852037137906,0.0331443002231681,0.018706268734686837,0.056012027678852605,16.0,26.0,210.0,ok,8.116341830764398,0.0,2.0,-0.017673526513440452,2.663074729106033,4.047693097963738
6,0.9,0.0,0.04152145379273481,0.008568746945517512,0.422727873431878,0.009512315895645496,44.44005834850296,0.5442762156513321,0.049937274838112056,10.899197391443181,0.9189686356055262,0.10000625053859247,9.189111987064205,0.00590393027341829,0.0398994940407942,0.026505870364518982,0.05228368268646855,14.0,47.0,236.0,ok,0.7768072095695653,-6.938893903907228e-18,2.0,40.2126303688214,10.68522447227774,9.098136310429686
6,0.9,0.002,0.04352145379273481,0.008568746945517512,0.422727873431878,0.009512315895645496,44.44005834850296,0.5442762156513321,0.049937274838112056,10.899197391443181,0.9189686356055262,0.10000625053859247,9.189111987064205,0.00590393027341829,0.0398994940407942,0.026505870364518982,0.05228368268646855,14.0,47.0,236.0,ok,0.7768072095695653,-6.938893903907228e-18,2.0,40.2126303688214,10.68522447227774,9.098136310429686
